PLAYER,STATUS,REASON,TEAM,GAME,DATE
"Johnson, Jalen",Out,Injury/Illness - Right Shoulder; Inflammation,Atlanta Hawks,PHX@ATL,01/14/2025
"Nance Jr., Larry",Out,Injury/Illness - Right Hand; Surgery,Atlanta Hawks,PHX@ATL,01/14/2025
"Plowden, Daeqwon",Questionable,G League - Two-Way,Atlanta Hawks,PHX@ATL,01/14/2025
"Wallace, Keaton",Questionable,G League - Two-Way,Atlanta Hawks,PHX@ATL,01/14/2025
"Young, Trae",Questionable,Injury/Illness - illness; Illness,Atlanta Hawks,PHX@ATL,01/14/2025
"Zeller, Cody",Out,Not With Team,Atlanta Hawks,PHX@ATL,01/14/2025
"Ingram, Brandon",Out,Injury/Illness - Left Ankle; Sprain,New Orleans Pelicans,NOP@CHI,01/14/2025
"Jones, Herbert",Out,Injury/Illness - Right Shoulder; Strain,New Orleans Pelicans,NOP@CHI,01/14/2025
"Murray, Dejounte",Available,Injury/Illness - Right Elbow; Tendonitis,New Orleans Pelicans,NOP@CHI,01/14/2025
"Craig, Torrey",Out,Injury/Illness - Right Calf; Contusion; (R) Ankle Sprain,Chicago Bulls,NOP@CHI,01/14/2025
"Dosunmu, Ayo",Questionable,Injury/Illness - Right Soleus; Strain,Chicago Bulls,NOP@CHI,01/14/2025
"Liddell, E.J.",Out,G League - Two-Way,Chicago Bulls,NOP@CHI,01/14/2025
"Miller, Emanuel",Out,G League - Two-Way,Chicago Bulls,NOP@CHI,01/14/2025
"Sanogo, Adama",Out,Injury/Illness - Right Knee; Management,Chicago Bulls,NOP@CHI,01/14/2025
"White, Coby",Questionable,Injury/Illness - Cervical; Strain,Chicago Bulls,NOP@CHI,01/14/2025
"Crawford, Isaiah",Out,G League - Two-Way,Sacramento Kings,SAC@MIL,01/14/2025
"Jones, Mason",Out,G League - Two-Way,Sacramento Kings,SAC@MIL,01/14/2025
"Monk, Malik",Out,Injury/Illness - Right Groin; Soreness,Sacramento Kings,SAC@MIL,01/14/2025
"Antetokounmpo, Giannis",Probable,Injury/Illness - Right Patella; Tendinopathy,Milwaukee Bucks,SAC@MIL,01/14/2025
"Johnson, AJ",Out,G League - On Assignment,Milwaukee Bucks,SAC@MIL,01/14/2025
"Livingston, Chris",Available,G League - On Assignment,Milwaukee Bucks,SAC@MIL,01/14/2025
"Middleton, Khris",Out,Injury/Illness - Bilateral Ankle; Injury Management,Milwaukee Bucks,SAC@MIL,01/14/2025
"Rollins, Ryan",Questionable,Injury/Illness - Non-covid; Illness,Milwaukee Bucks,SAC@MIL,01/14/2025
"Smith, Tyler",Out,G League - On Assignment,Milwaukee Bucks,SAC@MIL,01/14/2025
"Trent Jr., Gary",Questionable,Injury/Illness - Left Hip; Flexor Strain,Milwaukee Bucks,SAC@MIL,01/14/2025
"Cancar, Vlatko",Out,Injury/Illness - Left Knee; Surgery Rehabilitation,Denver Nuggets,DEN@DAL,01/14/2025
"Gordon, Aaron",Probable,Injury/Illness - Right Calf; Strain,Denver Nuggets,DEN@DAL,01/14/2025
"Hall, PJ",Out,G League - Two-Way,Denver Nuggets,DEN@DAL,01/14/2025
"Holmes II, DaRon",Out,Injury/Illness - Right Achilles Tendon; Repair,Denver Nuggets,DEN@DAL,01/14/2025
"Jokic, Nikola",Probable,Injury/Illness - Illness; Illness,Denver Nuggets,DEN@DAL,01/14/2025
"Jones, Spencer",Out,G League - Two-Way,Denver Nuggets,DEN@DAL,01/14/2025
"Murray, Jamal",Probable,Injury/Illness - Left Knee; Inflammation,Denver Nuggets,DEN@DAL,01/14/2025
"Strawther, Julian",Probable,Injury/Illness - Right Knee; Strain,Denver Nuggets,DEN@DAL,01/14/2025
"Doncic, Luka",Out,Injury/Illness - Left Calf; Strain,Dallas Mavericks,DEN@DAL,01/14/2025
"Edwards, Kessler",Out,G League - Two-Way,Dallas Mavericks,DEN@DAL,01/14/2025
"Exum, Dante",Out,Injury/Illness - Right Wrist; Surgery,Dallas Mavericks,DEN@DAL,01/14/2025
"Gortman, Jazian",Out,G League - Two-Way,Dallas Mavericks,DEN@DAL,01/14/2025
"Irving, Kyrie",Questionable,Injury/Illness - Lumbar Back; Sprain,Dallas Mavericks,DEN@DAL,01/14/2025
"Bogdanovic, Bojan",Out,Injury/Illness - Left Foot; Injury Recovery,Brooklyn Nets,BKN@POR,01/14/2025
"Claxton, Nic",Questionable,Injury/Illness - Right Hamstring; Tightness,Brooklyn Nets,BKN@POR,01/14/2025
"Johnson, Cameron",Questionable,Injury/Illness - Right Ankle; Sprain,Brooklyn Nets,BKN@POR,01/14/2025
"Lewis, Maxwell",Out,Injury/Illness - Left Tibia; Fracture,Brooklyn Nets,BKN@POR,01/14/2025
"Melton, De'Anthony",Out,Injury/Illness - Left Knee; ACL Tear,Brooklyn Nets,BKN@POR,01/14/2025
"Russell, D'Angelo",Questionable,Injury/Illness - Right Shin; Contusion,Brooklyn Nets,BKN@POR,01/14/2025
"Simmons, Ben",Questionable,Injury/Illness - Lower Back; Injury Management/ Left Knee Soreness,Brooklyn Nets,BKN@POR,01/14/2025
"Thomas, Cam",Out,Injury/Illness - Left Hamstring; Strain,Brooklyn Nets,BKN@POR,01/14/2025
"Watford, Trendon",Out,Injury/Illness - Left Hamstring; Strain,Brooklyn Nets,BKN@POR,01/14/2025
"Avdija, Deni",Questionable,Injury/Illness - Right Ankle; Sprain,Portland Trail Blazers,BKN@POR,01/14/2025
"Banton, Dalano",Questionable,Injury/Illness - Illness; .,Portland Trail Blazers,BKN@POR,01/14/2025
"Grant, Jerami",Out,Injury/Illness - Face; Contusion,Portland Trail Blazers,BKN@POR,01/14/2025
"McGowens, Bryce",Questionable,G League - Two-Way,Portland Trail Blazers,BKN@POR,01/14/2025
"Minaya, Justin",Questionable,G League - Two-Way,Portland Trail Blazers,BKN@POR,01/14/2025
"Moore, Taze",Questionable,G League - Two-Way,Portland Trail Blazers,BKN@POR,01/14/2025
"Thybulle, Matisse",Out,Injury/Illness - Right Ankle; Sprain,Portland Trail Blazers,BKN@POR,01/14/2025
"Williams III, Robert",Questionable,Injury/Illness - Illness; .,Portland Trail Blazers,BKN@POR,01/14/2025
"Brunson, Jalen",Probable,Injury/Illness - Right Shoulder; Soreness,New York Knicks,NYK@PHI,01/15/2025
"Dadiet, Pacome",Out,G League - On Assignment,New York Knicks,NYK@PHI,01/15/2025
"McCullar Jr., Kevin",Out,G League - Two-Way,New York Knicks,NYK@PHI,01/15/2025
"Robinson, Mitchell",Out,Injury/Illness - Left Ankle; Surgery,New York Knicks,NYK@PHI,01/15/2025
"Sims, Jericho",Questionable,Injury/Illness - Lower Back; Spasms,New York Knicks,NYK@PHI,01/15/2025
"Towns, Karl-Anthony",Questionable,Injury/Illness - Right Thumb; Sprained,New York Knicks,NYK@PHI,01/15/2025
"Drummond, Andre",Out,Injury/Illness - Left Toe; Sprain,Philadelphia 76ers,NYK@PHI,01/15/2025
"Embiid, Joel",Out,Injury/Illness - Left Foot; Sprain,Philadelphia 76ers,NYK@PHI,01/15/2025
"George, Paul",Questionable,Injury/Illness - Right Ankle; Soreness,Philadelphia 76ers,NYK@PHI,01/15/2025
"Lowry, Kyle",Out,Injury/Illness - Right Hip; Sprain,Philadelphia 76ers,NYK@PHI,01/15/2025
"Martin, Caleb",Out,Injury/Illness - Right Groin; Soreness,Philadelphia 76ers,NYK@PHI,01/15/2025
"Martin, KJ",Out,Injury/Illness - Left Foot; Stress Reaction,Philadelphia 76ers,NYK@PHI,01/15/2025
"Maxey, Tyrese",Questionable,Injury/Illness - Left Hand; Sprain,Philadelphia 76ers,NYK@PHI,01/15/2025
"McCain, Jared",Out,Injury/Illness - Left Knee; Meniscus Surgery,Philadelphia 76ers,NYK@PHI,01/15/2025
"Davison, JD",Out,G League - Two-Way,Boston Celtics,BOS@TOR,01/15/2025
"Peterson, Drew",Out,G League - Two-Way,Boston Celtics,BOS@TOR,01/15/2025
"Scheierman, Baylor",Out,G League - On Assignment,Boston Celtics,BOS@TOR,01/15/2025
"Watson, Anton",Out,G League - Two-Way,Boston Celtics,BOS@TOR,01/15/2025
"Chomche, Ulrich",Out,G League - Two-Way,Toronto Raptors,BOS@TOR,01/15/2025
"Lawson, A.J.",Out,G League - Two-Way,Toronto Raptors,BOS@TOR,01/15/2025
"Mogbo, Jonathan",Out,G League - On Assignment,Toronto Raptors,BOS@TOR,01/15/2025
"Omoruyi, Eugene",Out,G League - On Assignment,Toronto Raptors,BOS@TOR,01/15/2025
"Quickley, Immanuel",Out,Injury/Illness - Left Hip; Strain,Toronto Raptors,BOS@TOR,01/15/2025
"Walter, Ja'Kobe",Out,G League - On Assignment,Toronto Raptors,BOS@TOR,01/15/2025
"Bufkin, Kobe",Out,Injury/Illness - Right Shoulder; Surgery,Atlanta Hawks,ATL@CHI,01/15/2025
"Gueye, Mouhamed",Questionable,G League - On Assignment,Atlanta Hawks,ATL@CHI,01/15/2025
"Hunter, De'Andre",Out,Injury/Illness - Left Foot; Soreness,Atlanta Hawks,ATL@CHI,01/15/2025
"Johnson, Jalen",Out,Injury/Illness - Right Shoulder; Inflammation,Atlanta Hawks,ATL@CHI,01/15/2025
"Nance Jr., Larry",Out,Injury/Illness - Right Hand; Surgery,Atlanta Hawks,ATL@CHI,01/15/2025
"Plowden, Daeqwon",Questionable,G League - Two-Way,Atlanta Hawks,ATL@CHI,01/15/2025
"Risacher, Zaccharie",Out,Injury/Illness - Left Adductor; Irritation,Atlanta Hawks,ATL@CHI,01/15/2025
"Wallace, Keaton",Questionable,G League - Two-Way,Atlanta Hawks,ATL@CHI,01/15/2025
"Young, Trae",Out,Injury/Illness - Right Rib; Contusion,Atlanta Hawks,ATL@CHI,01/15/2025
"Zeller, Cody",Out,Not With Team,Atlanta Hawks,ATL@CHI,01/15/2025
"Ball, Lonzo",Questionable,Injury/Illness - Left Knee; Management,Chicago Bulls,ATL@CHI,01/15/2025
"Craig, Torrey",Out,"Injury/Illness - Left Calf; Contusion, Left Ankle Sprain",Chicago Bulls,ATL@CHI,01/15/2025
"Dosunmu, Ayo",Questionable,Injury/Illness - Right Soleus; Strain,Chicago Bulls,ATL@CHI,01/15/2025
"Liddell, E.J.",Out,G League - Two-Way,Chicago Bulls,ATL@CHI,01/15/2025
"Miller, Emanuel",Out,G League - Two-Way,Chicago Bulls,ATL@CHI,01/15/2025
"Sanogo, Adama",Out,Injury/Illness - Right Knee; Management,Chicago Bulls,ATL@CHI,01/15/2025
"White, Coby",Questionable,Injury/Illness - Cervical; Strain,Chicago Bulls,ATL@CHI,01/15/2025
"Doncic, Luka",Out,Injury/Illness - Left Calf; Strain,Dallas Mavericks,DAL@NOP,01/15/2025
"Edwards, Kessler",Out,G League - Two-Way,Dallas Mavericks,DAL@NOP,01/15/2025
"Exum, Dante",Out,Injury/Illness - Right Wrist; Surgery,Dallas Mavericks,DAL@NOP,01/15/2025
"Gortman, Jazian",Out,G League - Two-Way,Dallas Mavericks,DAL@NOP,01/15/2025
"Irving, Kyrie",Doubtful,Injury/Illness - Lumbar Back; Sprain,Dallas Mavericks,DAL@NOP,01/15/2025
"Lively II, Dereck",Out,Injury/Illness - Right Ankle; Sprain,Dallas Mavericks,DAL@NOP,01/15/2025
"Brooks Jr., Keion",Out,G League - Two-Way,New Orleans Pelicans,DAL@NOP,01/15/2025
"Ingram, Brandon",Out,Injury/Illness - Left Ankle; Sprain,New Orleans Pelicans,DAL@NOP,01/15/2025
"Jones, Herbert",Out,Injury/Illness - Right Shoulder; Strain,New Orleans Pelicans,DAL@NOP,01/15/2025
"Murray, Dejounte",Probable,Injury/Illness - Right Elbow; Bursitis,New Orleans Pelicans,DAL@NOP,01/15/2025
"Reeves, Antonio",Out,G League - On Assignment,New Orleans Pelicans,DAL@NOP,01/15/2025
"Williamson, Zion",Out,Return to Competition Reconditioning,New Orleans Pelicans,DAL@NOP,01/15/2025
"Huff, Jay",Probable,Injury/Illness - Left Knee; Soreness,Memphis Grizzlies,MEM@SAS,01/15/2025
"Jackson, GG",Out,G League - On Assignment,Memphis Grizzlies,MEM@SAS,01/15/2025
"Pullin, Zyon",Out,G League - Two-Way,Memphis Grizzlies,MEM@SAS,01/15/2025
"Smart, Marcus",Out,Injury/Illness - Right Index Finger; Partial Extensor Hood Tear,Memphis Grizzlies,MEM@SAS,01/15/2025
"Spencer, Cam",Out,Injury/Illness - Left Thumb; Surgery Recovery,Memphis Grizzlies,MEM@SAS,01/15/2025
"Williams Jr., Vince",Out,Injury/Illness - Right Ankle; Sprain,Memphis Grizzlies,MEM@SAS,01/15/2025
"Cissoko, Sidy",Out,G League - On Assignment,San Antonio Spurs,MEM@SAS,01/15/2025
"Duke Jr., David",Out,G League - Two-Way,San Antonio Spurs,MEM@SAS,01/15/2025
"Ingram, Harrison",Out,G League - Two-Way,San Antonio Spurs,MEM@SAS,01/15/2025
"Minix, Riley",Out,G League - Two-Way,San Antonio Spurs,MEM@SAS,01/15/2025
"Sochan, Jeremy",Out,Injury/Illness - Bilateral Low Back; Spasms,San Antonio Spurs,MEM@SAS,01/15/2025
"Bitadze, Goga",Out,Concussion Protocol,Orlando Magic,ORL@MIL,01/15/2025
"Caldwell-Pope, Kentavious",Questionable,Injury/Illness - Left Knee; Strain,Orlando Magic,ORL@MIL,01/15/2025
"Harris, Gary",Out,Injury/Illness - Left Hamstring; Strain,Orlando Magic,ORL@MIL,01/15/2025
"Howard, Jett",Doubtful,Injury/Illness - Left Ankle; Sprain,Orlando Magic,ORL@MIL,01/15/2025
"Joseph, Cory",Questionable,Injury/Illness - N/a; Illness,Orlando Magic,ORL@MIL,01/15/2025
"McClung, Mac",Out,G League - Two-Way,Orlando Magic,ORL@MIL,01/15/2025
"Suggs, Jalen",Out,Injury/Illness - Back; Low back strain,Orlando Magic,ORL@MIL,01/15/2025
"Wagner, Franz",Out,Return to Competition Reconditioning,Orlando Magic,ORL@MIL,01/15/2025
"Wagner, Moritz",Out,Injury/Illness - Left Knee; Torn ACL,Orlando Magic,ORL@MIL,01/15/2025
"Antetokounmpo, Giannis",Probable,Injury/Illness - Right Patella; Tendinopathy,Milwaukee Bucks,ORL@MIL,01/15/2025
"Johnson, AJ",Out,G League - On Assignment,Milwaukee Bucks,ORL@MIL,01/15/2025
"Middleton, Khris",Probable,Injury/Illness - Bilateral Ankle; Injury Management,Milwaukee Bucks,ORL@MIL,01/15/2025
"Smith, Tyler",Out,G League - On Assignment,Milwaukee Bucks,ORL@MIL,01/15/2025
"Trent Jr., Gary",Out,Injury/Illness - Left Hip; Flexor Strain,Milwaukee Bucks,ORL@MIL,01/15/2025
"Diabate, Moussa",Out,G League - Two-Way,Charlotte Hornets,CHA@UTA,01/15/2025
"Mann, Tre",Out,Injury/Illness - Disc; Irritation,Charlotte Hornets,CHA@UTA,01/15/2025
"Williams, Grant",Out,Injury/Illness - Right ACL; Tear,Charlotte Hornets,CHA@UTA,01/15/2025
"Wong, Isaiah",Out,G League - Two-Way,Charlotte Hornets,CHA@UTA,01/15/2025
"Clarkson, Jordan",Out,Injury/Illness - Left Plantar; Fasciitis,Utah Jazz,CHA@UTA,01/15/2025
"Collins, John",Out,Injury/Illness - Left Hip; Injury management,Utah Jazz,CHA@UTA,01/15/2025
"George, Keyonte",Available,Injury/Illness - Left Heel;,Utah Jazz,CHA@UTA,01/15/2025
"Harkless, Elijah",Available,G League - Two-Way,Utah Jazz,CHA@UTA,01/15/2025
"Hendricks, Taylor",Out,Injury/Illness - Right Fibula; Fracture,Utah Jazz,CHA@UTA,01/15/2025
"Juzang, Johnny",Out,Injury/Illness - Right Hand; Fracture,Utah Jazz,CHA@UTA,01/15/2025
"Markkanen, Lauri",Out,Injury/Illness - Low Back; Spasms,Utah Jazz,CHA@UTA,01/15/2025
"Sexton, Collin",Out,Rest,Utah Jazz,CHA@UTA,01/15/2025
"Tshiebwe, Oscar",Available,G League - Two-Way,Utah Jazz,CHA@UTA,01/15/2025
"Dante, N'Faly",Out,G League - Two-Way,Houston Rockets,HOU@DEN,01/15/2025
"Eason, Tari",Doubtful,Injury/Illness - Left Lower Leg; Injury Management,Houston Rockets,HOU@DEN,01/15/2025
"Landale, Jock",Out,Personal Reasons,Houston Rockets,HOU@DEN,01/15/2025
"McVeigh, Jack",Out,G League - Two-Way,Houston Rockets,HOU@DEN,01/15/2025
"Smith Jr., Jabari",Out,Injury/Illness - Left Metacarpal; Fracture,Houston Rockets,HOU@DEN,01/15/2025
"Anderson, Kyle",Questionable,Injury/Illness - Left Hamstring; Soreness,Golden State Warriors,GSW@MIN,01/15/2025
"Green, Draymond",Questionable,Injury/Illness - Left L5-S1; Disc; General Illness,Golden State Warriors,GSW@MIN,01/15/2025
"Jackson-Davis, Trayce",Probable,Injury/Illness - Right Thumb; Sprain,Golden State Warriors,GSW@MIN,01/15/2025
"Kuminga, Jonathan",Out,Injury/Illness - Right Ankle; Sprain,Golden State Warriors,GSW@MIN,01/15/2025
"Payton II, Gary",Probable,Injury/Illness - Left Calf; Strain,Golden State Warriors,GSW@MIN,01/15/2025
"Podziemski, Brandin",Out,Injury/Illness - Right Abdominal; Injury Management,Golden State Warriors,GSW@MIN,01/15/2025
"Dillingham, Rob",Out,G League - On Assignment,Minnesota Timberwolves,GSW@MIN,01/15/2025
"Edwards, Jesse",Out,G League - Two-Way,Minnesota Timberwolves,GSW@MIN,01/15/2025
"Shannon Jr., Terrence",Out,Injury/Illness - Right Mid-foot; Sprain,Minnesota Timberwolves,GSW@MIN,01/15/2025
"Adebayo, Bam",Questionable,Injury/Illness - Lower Back; Contusion,Miami Heat,MIA@LAL,01/15/2025
"Butler, Jimmy",Out,Team Suspension,Miami Heat,MIA@LAL,01/15/2025
"Richardson, Josh",Out,Injury/Illness - Right Heel; Inflammation,Miami Heat,MIA@LAL,01/15/2025
"Smith, Dru",Out,Injury/Illness - Left Achilles; Surgery,Miami Heat,MIA@LAL,01/15/2025
"Ware, Kel'el",Probable,Injury/Illness - Right Foot; Soreness,Miami Heat,MIA@LAL,01/15/2025
"Davis, Anthony",Probable,Injury/Illness - Left Plantar; Fasciitis,Los Angeles Lakers,MIA@LAL,01/15/2025
"Finney-Smith, Dorian",Doubtful,Personal Reasons,Los Angeles Lakers,MIA@LAL,01/15/2025
"Hood-Schifino, Jalen",Out,Injury/Illness - Left Hamstring; Strain,Los Angeles Lakers,MIA@LAL,01/15/2025
"James, Bronny",Questionable,Injury/Illness - Illness; -,Los Angeles Lakers,MIA@LAL,01/15/2025
"James, LeBron",Probable,Injury/Illness - Left Foot; Injury Management,Los Angeles Lakers,MIA@LAL,01/15/2025
"Vanderbilt, Jarred",Out,Injury/Illness - Right Foot; Surgery Recovery,Los Angeles Lakers,MIA@LAL,01/15/2025
"Wood, Christian",Out,Injury/Illness - Left Knee; Surgery,Los Angeles Lakers,MIA@LAL,01/15/2025
"Brown, Kobe",Out,G League - On Assignment,LA Clippers,BKN@LAC,01/15/2025
"Christie, Cam",Out,G League - On Assignment,LA Clippers,BKN@LAC,01/15/2025
"Flowers, Trentyn",Out,G League - Two-Way,LA Clippers,BKN@LAC,01/15/2025
"Tucker, P.J.",Out,Not With Team,LA Clippers,BKN@LAC,01/15/2025
"Dennis, RayJ",Questionable,G League - Two-Way,Indiana Pacers,IND@DET,01/16/2025
"Freeman, Enrique",Questionable,G League - Two-Way,Indiana Pacers,IND@DET,01/16/2025
"Haliburton, Tyrese",Questionable,Injury/Illness - Left Groin; Strain,Indiana Pacers,IND@DET,01/16/2025
"Jackson, Isaiah",Out,Injury/Illness - Right Achilles Tendon; Tear,Indiana Pacers,IND@DET,01/16/2025
"Jackson, Quenton",Questionable,G League - Two-Way,Indiana Pacers,IND@DET,01/16/2025
"Mathurin, Bennedict",Out,League Suspension,Indiana Pacers,IND@DET,01/16/2025
"Nesmith, Aaron",Questionable,Injury/Illness - Left Ankle; Sprain,Indiana Pacers,IND@DET,01/16/2025
"Wiseman, James",Out,Injury/Illness - Left Achilles Tendon; Tear,Indiana Pacers,IND@DET,01/16/2025
"Harper Jr., Ron",Out,G League - Two-Way,Detroit Pistons,IND@DET,01/16/2025
"Ivey, Jaden",Out,Injury/Illness - Left Fibula; Fracture,Detroit Pistons,IND@DET,01/16/2025
"Jenkins, Daniss",Out,G League - Two-Way,Detroit Pistons,IND@DET,01/16/2025
"Klintman, Bobi",Out,G League - On Assignment,Detroit Pistons,IND@DET,01/16/2025
"Smith, Tolu",Out,G League - Two-Way,Detroit Pistons,IND@DET,01/16/2025
"Beal, Bradley",Out,Injury/Illness - Left Ankle; Sprain,Phoenix Suns,PHX@WAS,01/16/2025
"Bridges, Jalen",Out,G League - Two-Way,Phoenix Suns,PHX@WAS,01/16/2025
"Gillespie, Collin",Out,G League - Two-Way,Phoenix Suns,PHX@WAS,01/16/2025
"Nurkic, Jusuf",Out,Injury/Illness - N/a; Illness,Phoenix Suns,PHX@WAS,01/16/2025
"Richards, Nick",Out,Not With Team,Phoenix Suns,PHX@WAS,01/16/2025
"Washington Jr., TyTy",Out,G League - Two-Way,Phoenix Suns,PHX@WAS,01/16/2025
"Bagley III, Marvin",Out,Injury/Illness - Right Knee; Sprain,Washington Wizards,PHX@WAS,01/16/2025
"Baldwin Jr., Patrick",Out,G League - On Assignment,Washington Wizards,PHX@WAS,01/16/2025
"Bey, Saddiq",Out,Injury/Illness - Left Knee; ACL Surgery,Washington Wizards,PHX@WAS,01/16/2025
"Brogdon, Malcolm",Out,Injury/Illness - Right Foot; Plantar Fascia Contusion,Washington Wizards,PHX@WAS,01/16/2025
"Bates, Emoni",Out,G League - Two-Way,Cleveland Cavaliers,CLE@OKC,01/16/2025
"Jerome, Ty",Questionable,Injury/Illness - Illness; Illness,Cleveland Cavaliers,CLE@OKC,01/16/2025
"Thor, JT",Out,G League - Two-Way,Cleveland Cavaliers,CLE@OKC,01/16/2025
"Travers, Luke",Out,G League - Two-Way,Cleveland Cavaliers,CLE@OKC,01/16/2025
"Dieng, Ousmane",Available,-,Oklahoma City Thunder,CLE@OKC,01/16/2025
"Flagler, Adam",Available,-,Oklahoma City Thunder,CLE@OKC,01/16/2025
"Hartenstein, Isaiah",Out,Injury/Illness - Left Soleus; Strain,Oklahoma City Thunder,CLE@OKC,01/16/2025
"Holmgren, Chet",Out,Injury/Illness - Right Iliac Wing; Fracture,Oklahoma City Thunder,CLE@OKC,01/16/2025
"Jones, Dillon",Out,G League - On Assignment,Oklahoma City Thunder,CLE@OKC,01/16/2025
"Mitchell, Ajay",Out,Injury/Illness - Right Great Toe; Surgery,Oklahoma City Thunder,CLE@OKC,01/16/2025
"Topic, Nikola",Out,Injury/Illness - Left Knee; Surgery,Oklahoma City Thunder,CLE@OKC,01/16/2025
"Carter, Devin",Questionable,Injury/Illness - Left Shoulder; Soreness,Sacramento Kings,HOU@SAC,01/16/2025
"Crawford, Isaiah",Out,G League - Two-Way,Sacramento Kings,HOU@SAC,01/16/2025
"Jones, Mason",Out,G League - Two-Way,Sacramento Kings,HOU@SAC,01/16/2025
"McLaughlin, Jordan",Out,Personal Reasons,Sacramento Kings,HOU@SAC,01/16/2025
"Monk, Malik",Probable,Injury/Illness - Right Groin; Soreness,Sacramento Kings,HOU@SAC,01/16/2025
"Avdija, Deni",Doubtful,Injury/Illness - Right Ankle; Sprain,Portland Trail Blazers,LAC@POR,01/16/2025
"Clingan, Donovan",Out,Injury/Illness - Left Ankle; Sprain,Portland Trail Blazers,LAC@POR,01/16/2025
"Grant, Jerami",Out,Injury/Illness - Face; Contusion,Portland Trail Blazers,LAC@POR,01/16/2025
"McGowens, Bryce",Out,G League - Two-Way,Portland Trail Blazers,LAC@POR,01/16/2025
"Moore, Taze",Out,G League - Two-Way,Portland Trail Blazers,LAC@POR,01/16/2025
"Thybulle, Matisse",Out,Injury/Illness - Right Ankle; Sprain,Portland Trail Blazers,LAC@POR,01/16/2025
"Williams III, Robert",Doubtful,Injury/Illness - Illness; .,Portland Trail Blazers,LAC@POR,01/16/2025
"Bitadze, Goga",Out,Concussion Protocol,Orlando Magic,ORL@BOS,01/17/2025
"Harris, Gary",Out,Injury/Illness - Left Hamstring; Strain,Orlando Magic,ORL@BOS,01/17/2025
"Howard, Jett",Out,Injury/Illness - Left Ankle; Sprain,Orlando Magic,ORL@BOS,01/17/2025
"McClung, Mac",Out,G League - Two-Way,Orlando Magic,ORL@BOS,01/17/2025
"Suggs, Jalen",Out,Injury/Illness - Back; Low back strain,Orlando Magic,ORL@BOS,01/17/2025
"Wagner, Franz",Out,Return to Competition Reconditioning,Orlando Magic,ORL@BOS,01/17/2025
"Wagner, Moritz",Out,Injury/Illness - Left Knee; Torn ACL,Orlando Magic,ORL@BOS,01/17/2025
"Davison, JD",Out,G League - Two-Way,Boston Celtics,ORL@BOS,01/17/2025
"Peterson, Drew",Out,G League - Two-Way,Boston Celtics,ORL@BOS,01/17/2025
"Scheierman, Baylor",Available,G League - On Assignment,Boston Celtics,ORL@BOS,01/17/2025
"Watson, Anton",Out,G League - Two-Way,Boston Celtics,ORL@BOS,01/17/2025
"DiVincenzo, Donte",Out,Injury/Illness - Left Great Toe; Sprain,Minnesota Timberwolves,MIN@NYK,01/17/2025
"Edwards, Jesse",Out,G League - Two-Way,Minnesota Timberwolves,MIN@NYK,01/17/2025
"Miller, Leonard",Out,Injury/Illness - N/a; Illness,Minnesota Timberwolves,MIN@NYK,01/17/2025
"Newton, Tristen",Out,G League - Two-Way,Minnesota Timberwolves,MIN@NYK,01/17/2025
"Shannon Jr., Terrence",Out,Injury/Illness - Right Mid-Foot; Sprain,Minnesota Timberwolves,MIN@NYK,01/17/2025
"McCullar Jr., Kevin",Out,G League - Two-Way,New York Knicks,MIN@NYK,01/17/2025
"Robinson, Mitchell",Out,Injury/Illness - Left Ankle; Surgery,New York Knicks,MIN@NYK,01/17/2025
"Towns, Karl-Anthony",Questionable,Injury/Illness - Right Thumb; Sprained,New York Knicks,MIN@NYK,01/17/2025
"Diabate, Moussa",Questionable,Injury/Illness - Illness; Illness,Charlotte Hornets,CHA@CHI,01/17/2025
"Mann, Tre",Out,Injury/Illness - Disc; Irritation,Charlotte Hornets,CHA@CHI,01/17/2025
"Miller, Brandon",Questionable,Injury/Illness - Right Wrist; Sprain,Charlotte Hornets,CHA@CHI,01/17/2025
"Williams, Grant",Out,Injury/Illness - Right ACL; Tear,Charlotte Hornets,CHA@CHI,01/17/2025
"Williams, Mark",Probable,Injury/Illness - Left Knee; Soreness,Charlotte Hornets,CHA@CHI,01/17/2025
"Wong, Isaiah",Out,G League - Two-Way,Charlotte Hornets,CHA@CHI,01/17/2025
"Craig, Torrey",Out,Injury/Illness - Right Calf; Contusion; Right Ankle Sprain,Chicago Bulls,CHA@CHI,01/17/2025
"Dosunmu, Ayo",Probable,Injury/Illness - Right Soleus; Strain,Chicago Bulls,CHA@CHI,01/17/2025
"Giddey, Josh",Probable,Injury/Illness - Right Hip; Soreness,Chicago Bulls,CHA@CHI,01/17/2025
"Horton-Tucker, Talen",Questionable,Injury/Illness - Left Knee; Sprain,Chicago Bulls,CHA@CHI,01/17/2025
"Liddell, E.J.",Out,G League - Two-Way,Chicago Bulls,CHA@CHI,01/17/2025
"Miller, Emanuel",Out,G League - Two-Way,Chicago Bulls,CHA@CHI,01/17/2025
"Sanogo, Adama",Out,Injury/Illness - Right Knee; Management,Chicago Bulls,CHA@CHI,01/17/2025
"White, Coby",Probable,Injury/Illness - Cervical; Strain,Chicago Bulls,CHA@CHI,01/17/2025
"Alexander, Trey",Out,G League - Two-Way,Denver Nuggets,DEN@MIA,01/17/2025
"Cancar, Vlatko",Out,Injury/Illness - Left Knee; Surgery,Denver Nuggets,DEN@MIA,01/17/2025
